name,state,population,county_fips,is_county
Greenwood County,SC,69309,047,True
Harrison County,TX,69098,203,True
Blue Earth County,MN,69022,013,True
San Patricio County,TX,68942,409,True
Carteret County,NC,68353,031,True
Allegany County,MD,68161,001,True
Shiawassee County,MI,68124,155,True
Walker County,GA,68065,295,True
Catoosa County,GA,68052,047,True
Lake County,CA,68024,033,True
Madison County,NY,68020,053,True
Oldham County,KY,67997,185,True
Otero County,NM,67850,035,True
Butler County,KS,67618,015,True
McCracken County,KY,67573,145,True
Laurens County,SC,67456,059,True
Spalding County,GA,67415,255,True
Aroostook County,ME,67237,003,True
Rice County,MN,67152,131,True
Jones County,MS,67152,067,True
Williamson County,IL,67120,199,True
Jefferson County,AR,66934,069,True
Montcalm County,MI,66901,117,True
St. Francois County,MO,66814,187,True
Ionia County,MI,66663,067,True
Muskogee County,OK,66606,101,True
Grant County,IN,66560,053,True
Crow Wing County,MN,66558,035,True
Belmont County,OH,66554,013,True
Wayne County,IN,66522,177,True
Marquette County,MI,66376,103,True
Chippewa County,WI,66254,017,True
Wilkes County,NC,66125,193,True
Apache County,AZ,66054,001,True
Mason County,WA,66053,045,True
Harrison County,WV,65862,033,True
Lincoln County,SD,65801,083,True
Kershaw County,SC,65779,055,True
Starr County,TX,65716,427,True
Warren County,NY,65684,113,True
Sauk County,WI,65664,111,True
Adams County,IL,65583,001,True
Liberty County,GA,65550,179,True
Armstrong County,PA,65538,005,True
