name,state,median_household_income,median_home_value
Dot Lake Village,AK,,
Dry Creek,AK,,
Eagle,AK,47500.0,48300.0
Eagle Village,AK,34000.0,
Eareckson Station,AK,,
Edna Bay,AK,,
Eek,AK,48750.0,80600.0
Egegik,AK,,143800.0
Eielson AFB,AK,65139.0,
Ekwok,AK,39063.0,
Elfin Cove,AK,,
Elim,AK,35000.0,106300.0
Emmonak,AK,45655.0,107200.0
Ester,AK,72917.0,260300.0
Eureka Roadhouse,AK,,
Evansville,AK,89643.0,76700.0
Excursion Inlet,AK,,
Fairbanks,AK,69914.0,262000.0
False Pass,AK,62083.0,158300.0
Farmers Loop,AK,100638.0,289800.0
Farm Loop,AK,112683.0,351500.0
Ferry,AK,,
Fishhook,AK,98523.0,338200.0
Flat,AK,,
Fort Greely,AK,65785.0,
Fort Yukon,AK,46250.0,130000.0
Four Mile Road,AK,,
Fox,AK,,
Fox River,AK,70938.0,310000.0
Fritz Creek,AK,78125.0,309900.0
Funny River,AK,61162.0,226100.0
Gakona,AK,,437500.0
Galena,AK,77813.0,107400.0
Gambell,AK,39375.0,76700.0
Game Creek,AK,,
Gateway,AK,115735.0,397400.0
Glacier View,AK,31875.0,160200.0
Glennallen,AK,78173.0,
Goldstream,AK,86724.0,276200.0
Golovin,AK,54167.0,88800.0
Goodnews Bay,AK,27708.0,129200.0
Grayling,AK,36250.0,95800.0
Gulkana,AK,,
Gustavus,AK,77500.0,275000.0
Haines,AK,69612.0,293100.0
Halibut Cove,AK,80139.0,
Happy Valley,AK,52273.0,199000.0
Harding-Birch Lakes,AK,73281.0,322500.0
Healy,AK,97404.0,235500.0
Healy Lake,AK,,325000.0
Hobart Bay,AK,,
Hollis,AK,55547.0,227300.0
Holy Cross,AK,33571.0,51400.0
Homer,AK,69757.0,348000.0
Hoonah,AK,72969.0,246500.0
Hooper Bay,AK,35179.0,101500.0
Hope,AK,,242200.0
Houston,AK,53750.0,215500.0
Hughes,AK,,
Huslia,AK,49792.0,26900.0
Hydaburg,AK,53125.0,128800.0
Hyder,AK,,
Igiugig,AK,82500.0,346400.0
Iliamna,AK,,337500.0
Ivanof Bay,AK,,
Juneau and borough,AK,95711.0,404600.0
Kachemak,AK,65000.0,364800.0
Kake,AK,61250.0,171900.0
Kaktovik,AK,86458.0,93000.0
Kalifornsky,AK,90703.0,282900.0
Kaltag,AK,39688.0,
Karluk,AK,,135400.0
Kasaan,AK,87917.0,296400.0
Kasigluk,AK,31250.0,
Kasilof,AK,,619300.0
Kenai,AK,77335.0,250600.0
Kenny Lake,AK,39667.0,206700.0
Ketchikan,AK,73512.0,304300.0
Kiana,AK,62727.0,126800.0
King Cove,AK,79844.0,118200.0
King Salmon,AK,115625.0,255600.0
Kipnuk,AK,43750.0,43300.0
Kivalina,AK,68750.0,112500.0
